Tool,Dataset,Precision,Recall,F1,Accuracy,Threshold
our_ast,bigclonebench,0.7326,1.0000,0.8457,0.7326,0.0000
our_ast,google_code_jam,1.0000,1.0000,1.0000,1.0000,0.8800
our_ast,kaggle_student_code,0.8000,0.7010,0.7473,0.8380,0.7000
our_ast,synthetic,1.0000,1.0000,1.0000,1.0000,0.4800
our_ast,xiangtan_style,0.0000,0.0000,0.0000,0.0000,0.5000
our_hybrid,bigclonebench,0.7326,1.0000,0.8457,0.7326,0.0000
our_hybrid,google_code_jam,1.0000,1.0000,1.0000,1.0000,0.8800
our_hybrid,kaggle_student_code,0.6138,0.9175,0.7355,0.7746,0.4900
our_hybrid,synthetic,0.9479,1.0000,0.9732,0.9725,0.4600
our_hybrid,xiangtan_style,0.0000,0.0000,0.0000,0.0000,0.5000
our_token,bigclonebench,0.7326,1.0000,0.8457,0.7326,0.0000
our_token,google_code_jam,0.1111,1.0000,0.2000,0.1111,0.0000
our_token,kaggle_student_code,0.3415,1.0000,0.5092,0.3415,0.0000
our_token,synthetic,0.9317,0.7500,0.8310,0.8475,0.0100
our_token,xiangtan_style,0.0000,0.0000,0.0000,0.0000,0.5000
